I	I:1	II	II:1	II:1(a)	II:1(b)	II:2	II:3	III	III:1	III:2	III:4	III:5	III:7	IV	IX	IX:2	V	V:1	V:2	V:3	V:3(a)	V:4	V:5	V:6	V:7	VI	VI:1	VI:2	VI:2(a)	VI:2(b)	VI:3	VI:5(a)	VI:6	VII	VII:1	VII:2	VII:5	VIII	VIII:1	VIII:3	VIII:4	X	X:1	X:2	X:3	X:3(a)	XI	XI:1	XIII	XIII:1	XIII:2	XIII:3(b)	XIX	XIX:1	XIX:2	XIX:3	XV	XVI	XVI:1	XVI:4	XVII	XVII:1	XVII:1(c)	XVIII	XVIII:10	XVIII:11	XX	XXI	XXII	XXII:1	XXIII	XXIII:1	XXIII:1(a)	XXIII:1(b)	XXIV	XXIV:12	XXIV:5(b)	XXIV:6	XXVIII
0.6468056	0.8194314	0.3874925	0.0072590173	0.00046120497	0.0018846815	0.00013031867	0.00033430886	0.13427722	0.00064842234	0.012137629	0.9672852	0.0047142687	2.0382024e-06	5.9511485e-06	4.7831372e-06	0.00017057471	1.7899461e-08	2.4778714e-08	8.883036e-07	1.9590613e-07	1.9590613e-07	1.3213617e-07	8.177794e-09	6.225513e-07	5.4232587e-06	0.4757068	0.00049175095	0.00038580128	0.00038580128	0.00038580128	0.005922018	1.4456377e-06	0.00025980917	0.0020145972	0.0006957243	0.00038765237	0.00031706897	0.0039032083	6.793939e-05	4.2581965e-07	0.00028123954	0.016803032	0.002343964	0.0005832368	0.006859648	0.0038871898	0.56239694	0.059027363	0.09618764	0.0029495696	0.0002852241	1.2512077e-06	0.0039731734	0.0044569955	0.00015550878	1.3426055e-05	1.7553274e-06	0.037438963	0.00012162699	3.6663519e-06	0.00054774625	0.00017820146	9.424306e-07	3.0528642e-07	1.0484196e-06	0.00011129507	0.0012024444	1.260647e-06	2.2080203e-05	0.0007888156	0.0074133575	0.023441259	7.3977266e-05	0.0022081765	0.000185003	1.1234808e-05	2.1857575e-07	9.4427133e-07	0.0021223258
0.019650562	0.10444086	0.01237321	0.0039890297	0.0005161244	0.001805224	0.0001155763	0.0004539575	0.0046838005	0.00053916627	0.007454291	0.42328465	0.00095749187	5.6648823e-06	1.6668866e-05	9.289757e-06	0.00016563525	3.4764494e-08	8.503743e-08	1.7252632e-06	3.8048984e-07	3.8048984e-07	3.6895932e-07	2.4392461e-08	1.2751507e-06	1.6404654e-05	0.98560846	0.06830178	0.017305123	0.017305123	0.017305123	0.29531926	3.3487652e-06	0.0037112033	0.0013117677	0.0008634803	0.0005893405	0.00047547597	0.0017100695	8.869906e-05	8.2702877e-07	0.00054608023	0.18984464	0.0067212316	0.0009136156	0.15043275	0.005704928	0.028475732	0.04676634	0.0032277883	0.0013764014	0.00022858926	3.0400565e-06	0.00016620479	0.0010101253	0.00012941976	4.3505086e-05	3.4092038e-06	0.0014425835	0.00023619727	9.64954e-06	0.0004275652	0.00017644356	1.8303939e-06	1.0363356e-06	2.0362402e-06	0.00019326771	0.00089934486	3.3005285e-06	2.2075234e-05	0.00023487747	0.00030482333	0.000609829	8.85006e-05	0.00051526964	0.00024150917	2.1820115e-05	4.2989592e-07	3.4847292e-06	0.00075441645
0.65208405	0.9646439	0.3694299	0.9634437	0.09225938	0.8983503	0.0059822695	0.02043458	0.705043	0.09143309	0.9702997	0.9763441	0.24659437	3.424412e-05	6.86547e-05	6.169989e-05	0.023696603	1.4329628e-07	9.607154e-08	1.8522138e-05	9.951964e-06	9.951964e-06	1.6962671e-06	8.776375e-08	5.70219e-06	8.827977e-05	0.022614278	0.0091441795	0.009739912	0.009739912	0.009739912	0.085703395	3.7482394e-05	0.0050868476	0.34981814	0.29317087	0.027575389	0.03606246	0.7448245	0.011510981	1.2114591e-05	0.024823919	0.91298753	0.91354454	0.12746967	0.78192794	0.95368016	0.88075614	0.9722972	0.03423811	0.7951202	0.01868439	9.471778e-06	0.0008959067	0.046723608	0.0021178024	2.4033066e-05	1.4018437e-05	0.008667607	0.001999866	2.150879e-05	0.027308408	0.0123342415	1.6041695e-05	1.2928213e-06	3.016882e-05	0.004880012	0.10467863	1.9787061e-05	0.0006114994	0.0048490576	0.0016761107	0.005366973	0.0028134154	0.014996635	0.002604015	0.00025120666	2.699606e-06	1.1892576e-05	0.057574555
0.9606315	0.9565138	0.92598253	0.044426546	0.00079128495	0.0075679095	0.0008471241	8.7909306e-05	0.88589406	0.004065131	0.06531589	0.9529743	0.060599048	9.087744e-07	2.65346e-06	2.5688973e-06	0.00087497605	8.360635e-09	1.1048086e-08	4.6848024e-07	1.3355893e-07	1.3355893e-07	5.891584e-08	3.6462267e-09	2.7757918e-07	2.1038345e-06	0.02455182	9.013493e-05	9.60643e-05	9.60643e-05	9.60643e-05	0.0027745874	6.445701e-07	4.7612262e-05	0.00476127	0.0012537953	0.0001385908	0.0001124356	0.03163497	0.00027078416	2.023285e-07	0.00023362093	0.029346772	0.0057379073	0.00042011737	0.0064865914	0.016578821	0.96113163	0.20225522	0.4546323	0.017850744	0.0018800372	5.578779e-07	0.015467117	0.06580777	0.00071929063	5.986354e-06	9.198498e-07	0.13625942	0.00010704352	1.6347182e-06	0.0037474476	0.0007669554	5.5116396e-07	1.3611782e-07	5.6034025e-07	0.0002727924	0.0082809795	5.6208506e-07	0.00018283898	0.011002425	0.027186144	0.1121639	0.00022584251	0.033939127	0.00059798674	6.3043394e-06	9.745703e-08	4.210225e-07	0.026221521
0.0044527235	0.04472951	0.00156428	0.015646499	0.0005971484	0.0102787595	4.569614e-05	0.00084380736	0.008548315	0.00024348484	0.028944375	0.22256367	0.00073259237	1.0795516e-05	3.176542e-05	1.7703382e-05	8.90585e-05	6.625059e-08	1.6205573e-07	3.2878336e-06	7.251023e-07	7.251023e-07	7.031271e-07	4.6484818e-08	2.4300643e-06	3.1261985e-05	0.98681647	0.3965633	0.23093775	0.23093775	0.23093775	0.946551	6.381725e-06	0.0070487577	0.002062607	0.0034807737	0.00085799996	0.0015052747	0.0041743633	5.976082e-05	1.5760681e-06	0.0005357213	0.7726168	0.040187046	0.003021965	0.9077425	0.025651792	0.017222686	0.1629797	0.000120583965	0.004768709	8.929312e-05	5.7934217e-06	6.1907754e-06	0.00037209882	4.7249872e-05	8.29048e-05	6.4969213e-06	5.37995e-05	0.0002727479	1.8388957e-05	0.00015744378	8.6204935e-05	3.488177e-06	1.9749511e-06	3.8804646e-06	0.00012625456	0.00033867836	6.289806e-06	8.212424e-06	4.9033566e-05	1.1355571e-05	2.2724607e-05	4.753387e-05	0.00012728361	0.00010516007	4.158171e-05	8.192526e-07	6.6408365e-06	0.00027785846
0.03802992	0.11971708	0.0150737325	0.0034393407	0.00040268712	0.0014088589	9.117332e-05	0.00029575458	0.0050961226	0.0004253638	0.0070984983	0.645755	0.0010320432	3.7313227e-06	1.0979446e-05	6.118943e-06	0.00013066422	2.2898476e-08	5.6011967e-08	1.1363913e-06	2.5061982e-07	2.5061982e-07	2.430249e-07	1.6066686e-08	8.3991e-07	1.0805394e-05	0.97763103	0.029504526	0.0076876986	0.0076876986	0.0076876986	0.15566935	2.20575e-06	0.0024475814	0.0010236377	0.00063919905	0.00038397516	0.0003097751	0.0013345706	6.997065e-05	5.447437e-07	0.00035975635	0.09345645	0.0052511543	0.000595318	0.07226997	0.0044561406	0.030917423	0.05069457	0.0060644825	0.0010740908	0.00018032899	2.002403e-06	0.00042952073	0.0011116745	0.00011383633	2.865613e-05	2.2455636e-06	0.0037205315	0.0001555899	6.355924e-06	0.00036849777	0.00013919073	1.2056352e-06	6.826091e-07	1.3412237e-06	0.000142374	0.00070957304	2.1739836e-06	1.7413935e-05	0.00025850948	0.00078758	0.0015748687	6.9814094e-05	0.0005670981	0.0001905212	1.4372495e-05	2.8316083e-07	2.2953084e-06	0.00083027565
0.40946412	0.9293845	0.17813173	0.93499047	0.10643947	0.9053626	0.0029419705	0.037653957	0.4692976	0.050169636	0.96799725	0.97860503	0.10800784	4.2890675e-05	6.8772184e-05	6.180559e-05	0.01497383	1.4354166e-07	1.012367e-07	1.8553854e-05	9.969005e-06	9.969005e-06	1.6991717e-06	9.248243e-08	5.711938e-06	0.0001139896	0.036335662	0.014870655	0.02912913	0.02912913	0.02912913	0.13025643	4.6687088e-05	0.007855852	0.35020742	0.4375554	0.050501738	0.06556932	0.61974	0.009048182	2.2722266e-05	0.024865367	0.9599506	0.95178443	0.21507955	0.89191294	0.96548647	0.73208296	0.974935	0.012945564	0.7197404	0.008477736	9.487988e-06	0.00033162558	0.01780956	0.000908365	2.4074172e-05	1.404244e-05	0.0032241663	0.0020032837	2.1545557e-05	0.01115416	0.007912134	1.6069149e-05	1.3538162e-06	3.0220483e-05	0.0048883227	0.048157983	2.8262928e-05	0.00031812448	0.0017993939	0.0006207296	0.0019922385	0.002162754	0.005600893	0.0024263635	0.00025163696	2.7042286e-06	1.3031165e-05	0.022101296
0.31036752	0.8705971	0.12332895	0.24937767	0.0007964882	0.06748997	0.00033319808	0.00059201353	0.36466247	0.0015222215	0.43745518	0.9761831	0.012520643	3.0223564e-06	8.824675e-06	8.263072e-06	0.00033240236	2.7805417e-08	3.674335e-08	1.534591e-06	3.384392e-07	3.384392e-07	1.9593901e-07	1.2126521e-08	9.2315764e-07	8.0419095e-06	0.14825569	0.0022462169	0.0023936317	0.0023936317	0.0023936317	0.079526775	2.1436783e-06	0.0011584074	0.005259794	0.004313246	0.00066950073	0.0010759475	0.035011716	0.00011971908	6.728958e-07	0.00048575646	0.5078629	0.13079342	0.0027914336	0.21969905	0.23263477	0.6394543	0.852904	0.008440884	0.032779165	0.0006143115	1.8553623e-06	0.00021527184	0.01051473	0.00028959042	1.9908864e-05	3.0324295e-06	0.002095068	0.00021009833	5.4366706e-06	0.0013862032	0.0003145762	1.6280966e-06	4.5269425e-07	1.8111944e-06	0.00019225279	0.0027502782	1.8693596e-06	6.105326e-05	0.0010748309	0.00040298243	0.0012939982	0.00012779293	0.003642507	0.0003328336	1.9408519e-05	3.241171e-07	1.4002225e-06	0.0050229128
0.5664316	0.95451313	0.28996208	0.8072874	0.005366545	0.34728345	0.0016990813	0.0011062035	0.62492925	0.016623365	0.8965635	0.9759083	0.1286819	2.9917692e-06	8.735392e-06	1.1043661e-05	0.003536654	2.7523964e-08	3.637143e-08	1.5701034e-06	6.6058726e-07	6.6058726e-07	1.9395641e-07	1.2003797e-08	9.1381844e-07	7.960523e-06	0.01878782	0.0012936619	0.0013786553	0.0013786553	0.0013786553	0.04735734	2.1219857e-06	0.00068374345	0.04104661	0.021544239	0.0015031248	0.0019821103	0.27900273	0.0012763925	6.6608584e-07	0.0014732006	0.7894807	0.4171892	0.007695814	0.44746372	0.67648685	0.83735865	0.94931674	0.024115616	0.24937464	0.0054942514	1.836589e-06	0.00062465545	0.030764721	0.00059982704	1.1902901e-05	4.164491e-06	0.006057617	0.0005457878	5.3816498e-06	0.007877117	0.0033475617	2.295779e-06	4.481137e-07	1.9383376e-06	0.0013899534	0.032885034	1.8504394e-06	0.00017300833	0.0029971988	0.0011689177	0.0037471168	0.000797243	0.010112774	0.00081402104	3.01286e-05	3.2083753e-07	1.3860479e-06	0.029470714
0.81412095	0.8772787	0.7773771	0.022811579	0.0013341829	0.0044034123	0.00914405	0.00024592667	0.6613528	0.011460998	0.037745297	0.9217182	0.051064447	1.7907772e-05	5.430304e-05	6.9646856e-05	0.005398235	2.2668407e-07	2.9955015e-07	1.2701873e-05	3.5531e-06	3.5531e-06	1.5973983e-06	9.8861754e-08	7.5260305e-06	3.393865e-05	0.056060176	0.0002796705	0.0001475281	0.0001475281	0.0001475281	0.0022723144	1.702608e-05	0.0005966068	0.0045935847	0.0008672262	0.00042206384	0.00019593215	0.013811034	0.0026172951	5.485773e-06	0.001313931	0.0285007	0.0047698817	0.0004921045	0.006295317	0.010680367	0.8454272	0.16685268	0.62182385	0.007891104	0.015643679	1.5125701e-05	0.093084306	0.18759316	0.008139162	0.0001370566	2.6238866e-05	0.5066732	0.0025457006	4.4320823e-05	0.028150829	0.00863725	1.48708505e-05	3.690596e-06	1.5192402e-05	0.0046568513	0.023206796	1.2580692e-05	0.001689857	0.08697503	0.15851392	0.39503145	0.0026889762	0.20175079	0.009134161	0.00018980318	2.6423716e-06	8.1994185e-06	0.07258875
